a,b,c,d,e,f,g,h,i
101,82,66,35,31,7,20,92,154
82,66,35,31,7,20,92,154,125
66,35,31,7,20,92,154,125,85
35,31,7,20,92,154,125,85,68
31,7,20,92,154,125,85,68,38
7,20,92,154,125,85,68,38,23
20,92,154,125,85,68,38,23,10
92,154,125,85,68,38,23,10,24
154,125,85,68,38,23,10,24,83
125,85,68,38,23,10,24,83,132
85,68,38,23,10,24,83,132,131
68,38,23,10,24,83,132,131,118
38,23,10,24,83,132,131,118,90
23,10,24,83,132,131,118,90,67
10,24,83,132,131,118,90,67,60
24,83,132,131,118,90,67,60,47
83,132,131,118,90,67,60,47,41
132,131,118,90,67,60,47,41,21
131,118,90,67,60,47,41,21,16
118,90,67,60,47,41,21,16,6
90,67,60,47,41,21,16,6,4
67,60,47,41,21,16,6,4,7
60,47,41,21,16,6,4,7,14
47,41,21,16,6,4,7,14,34
41,21,16,6,4,7,14,34,45
21,16,6,4,7,14,34,45,48
16,6,4,7,14,34,45,48,42
6,4,7,14,34,45,48,42,28
4,7,14,34,45,48,42,28,10
7,14,34,45,48,42,28,10,8
14,34,45,48,42,28,10,8,2
34,45,48,42,28,10,8,2,0
45,48,42,28,10,8,2,0,1
48,42,28,10,8,2,0,1,5
42,28,10,8,2,0,1,5,12
28,10,8,2,0,1,5,12,14
10,8,2,0,1,5,12,14,35
8,2,0,1,5,12,14,35,46
2,0,1,5,12,14,35,46,41
0,1,5,12,14,35,46,41,30
1,5,12,14,35,46,41,30,24
5,12,14,35,46,41,30,24,16
12,14,35,46,41,30,24,16,7
14,35,46,41,30,24,16,7,4
35,46,41,30,24,16,7,4,2
46,41,30,24,16,7,4,2,8
41,30,24,16,7,4,2,8,17
30,24,16,7,4,2,8,17,36
24,16,7,4,2,8,17,36,50
16,7,4,2,8,17,36,50,62
7,4,2,8,17,36,50,62,67
4,2,8,17,36,50,62,67,71
2,8,17,36,50,62,67,71,48
8,17,36,50,62,67,71,48,28
17,36,50,62,67,71,48,28,8
36,50,62,67,71,48,28,8,13
50,62,67,71,48,28,8,13,57
62,67,71,48,28,8,13,57,122
67,71,48,28,8,13,57,122,138
71,48,28,8,13,57,122,138,103
48,28,8,13,57,122,138,103,86
28,8,13,57,122,138,103,86,63
8,13,57,122,138,103,86,63,37
13,57,122,138,103,86,63,37,24
57,122,138,103,86,63,37,24,11
122,138,103,86,63,37,24,11,15
138,103,86,63,37,24,11,15,40
103,86,63,37,24,11,15,40,62
86,63,37,24,11,15,40,62,98
63,37,24,11,15,40,62,98,124
37,24,11,15,40,62,98,124,96
24,11,15,40,62,98,124,96,66
11,15,40,62,98,124,96,66,64
15,40,62,98,124,96,66,64,54
40,62,98,124,96,66,64,54,39
62,98,124,96,66,64,54,39,21
98,124,96,66,64,54,39,21,7
124,96,66,64,54,39,21,7,4
96,66,64,54,39,21,7,4,23
66,64,54,39,21,7,4,23,55
64,54,39,21,7,4,23,55,94
54,39,21,7,4,23,55,94,96
39,21,7,4,23,55,94,96,77
21,7,4,23,55,94,96,77,59
7,4,23,55,94,96,77,59,44
4,23,55,94,96,77,59,44,47
23,55,94,96,77,59,44,47,30
